#
# DXE files
#
fc510ee7-ffdc-11d4-bd41-0080c73c8881 Apriori
ab7ed12e-1d78-4635-ab87-23f00a911ec7 RomLayoutDxe
d6a2cb7f-6a18-4e2f-b43b-9920a733700a DxeCore
9b680fce-ad6b-4f3a-b60b-f59899003443 DevicePathDxe
cd3bafb6-50fb-4fe8-8e4e-ab74d2c1a600 EnglishDxe
13ac6dd0-73d0-11d4-b06b-00aa00bd6de7 EbcDxe
348c4d62-bfbd-4882-9ece-c80bb1c4783b HiiDatabase
f80697e9-7fd6-4665-8646-88e33ef71dfc SecurityStubDxe
c10194e7-deb2-4af4-9eee-bffde4d7d4c7 TimestampDxe
a19b1fe7-c1bc-49f8-875f-54a5d542443f CpuIo2Dxe
40beab40-cece-4909-b133-20a413ae19e9 CpuMpDxe
62d171cb-78cd-4480-8678-c6a2a797a8de CpuArchDxe
63809859-f029-41c3-9f34-eeeb9ea787a5 IioInit
3ffcae95-23cf-4967-94f5-16352f68e43b PpmInitialize
274f0c8f-9e57-41d8-9966-29ccd48d31c2 SmmAccess
79ca4208-bba1-4a9a-8456-e1e66a81484e Legacy8259
378d7b65-8da9-4773-b6e4-a47826a833e1 PcRtc
c1c418f9-591d-461c-82a2-b9cd96dfea86 LegacyInterrupt
de23acee-cf55-4fb6-aa77-984ab53de823 PchInitDxe
c7ea9787-ca0a-43b4-b1e5-25ef87391f8d PchS3Support
fc1b7640-3466-4c06-b1cc-1c935394b5c2 PchSerialGpio
90cb75db-71fc-489d-aacf-943477ec7212 SmartTimer
e052d8a6-224a-4c32-8d37-2e0ae162364d PchSmbusDxe
5aab83e5-f027-4ca7-bfd0-16358cc9e453 WdtDxe
67820532-7613-4dd3-9ed7-3d9be3a7da63 Aint13
899407d7-99fe-43d8-9a21-79ec328cac21 Setup
129f6aa7-ab69-4cb8-aed1-40985001115e SerialMuxControl
bc0b9fb8-97cf-4b17-9a9e-f574e62cbcc4 BmcLanConfig
e5dafe50-10cb-41b5-9cb5-274e1cf1a8d7 Ip6BmcLanConfig
1b08a1db-f91a-4fa1-a911-255c417f1cf7 ServerMgmtSetup
bc1b9eb8-98cf-4b57-9a89-f578e63cbcc4 IPv6BmcLanConfig
16d0a23e-c09c-407d-a14a-ad058fdd0ca1 ACPI
26a2481e-4424-46a2-9943-cc4039ead8f8 S3Save
4e82091e-32a1-4689-8a00-cde41ed63cdd SioDxeInit
00364a4c-6a0a-4f08-8ffd-0937f3dbb13e IdeBusBoard
4a3602bc-1a05-4c82-99b4-588cd2a32cd5 LegacySredir
76d5cf91-0c55-434e-97c2-d2825c82e610 OA3
80e66e0a-ccd1-43fa-a7b1-2d5ee0f13910 PciRootBridge
502b04f3-71ab-47b4-beae-4736ea190aa4 PciDxeInit
271b424e-a4cc-4e0e-90a2-7ea4841f12f3 ExportHiiDb
a210f973-229d-4f4d-aa37-9895e6c9eaba DpcDxe
21891a9e-763e-4377-8841-8d5c90d88c51 NetworkStackSetupScreen
9f3a0016-ae55-4288-829d-d55fd3aac347 AmiBoardInfo2
70e1a818-0be1-4449-bfd4-9ef68c7f02a8 ReFlash
a062cf1f-8473-4aa3-8793-600bc4ffe9a8 CsmDxe
d4a88838-ebf4-48d7-9d97-ce6789fde0b7 CryptoPkgTest
ffe0fcdc-809a-4d48-a060-6a8a6a269176 EventLogsSetupPage
2ddfedfe-c2d5-43e3-9e10-46db2c7c1f26 SmbiosElogSetupScreen
9529dd7b-9ba5-4fc3-b1e5-e085c9f98fcb AmiCpuInfoProtocols
87ab821c-79b8-4ef6-a913-21d22063f55f AcpiPlatform
64a11188-5b86-4f59-a702-73365896e65e AcpiVTD
76a7b4fc-c8d5-462d-a4d2-6e88338a772a PlatformCpuPolicy
aa7b4695-00b4-4468-ad92-99370ac031c5 LegacyRegion2
e2441b64-7ef4-41fe-b3a3-8caa7f8d3017 PciPlatform
2e6a521c-f697-402d-9774-98b2b7e140f3 PlatformType
62dc08ac-a651-4ee9-af81-eaa9261e9780 S3NvramSave
0f99e33c-ca0c-4aa2-887d-b57ec9050278 SaveMemoryConfig
7f8d35bd-0ce3-4654-b5d3-73fc4b38aabf PlatformEarlyDxe
6a3def38-0a45-4107-a74e-abf2b8eaed86 MemorySubClass
abbce13d-e25a-4d9f-a1f9-2f7710786892 Platform
ae3356f4-f95b-404b-b1de-64eb5d5e5bbe MemRas
905cf1b3-32f8-489c-a641-46a714583262 AmiErrorLog
e954929c-5bac-4494-b963-3b23d4a13ad2 QuiesceSupport
b2cd74de-11f9-418c-bf2e-dac3035aab7a IsPlatformSupportWhea
55e76644-78a5-4a82-a900-7126a5798892 HeciInitDxe
7adbad98-7fe1-4774-9260-747327435e6d AslInformation
e8f6a75c-3cda-4b00-9837-8ca2a1f34eac SpsDxe
ae587172-cc15-48e1-8be1-29ddf05c6a1e OemVtdRmrr
a9b700cf-019e-4d8b-a3a7-88e1ea01699e HddSecurity
81a4f912-e72f-44ed-8931-16a9fe9650e0 KbcEmulDxe
c9a6de36-fdff-4faf-8343-85d9e3470f43 NvmeInt13
668706b2-bcfc-4ad4-a185-75e79f3fe169 NvmeDynamicSetup
59af16b0-661d-4865-a381-38de68385d8d OpalSecurity
a919b3b6-d44e-41f0-9179-8aa24ff2260e PCIeSataDynamicSetup
ff917e22-a228-448d-bdaa-68efccdda5d3 TxtDxe
492cb3ae-66db-4f1e-91ae-534c48f2f83d WheaSupport
b13edd38-684c-41ed-a305-d7b7e32497df Smbios
cef68c66-06ab-4fb3-a3ed-5ffa885b5725 SmbiosBoard
50f6096d-7c98-4c78-9a1d-c5a1833b6a88 AmiTcgNvflagSample
a29a63e3-e4e7-495f-8a6a-07738300cbb3 AmiTcgPlatformDxe
2688b232-9c02-4c12-be1f-857c0ff2aae3 TcgDxeplatform
858ebe6f-360f-415b-b7dc-463aaeb03412 TcgLegacy
0718ad81-f26a-4850-a6ec-f268e309d707 Tpm20PlatformDxe
4c8bdf60-2085-4577-8a46-96cb180967bc Tpm20Acpi
077a3100-1667-45fa-b98c-37651b5073ee TpmSmbiosDxe
580dd900-385d-11d7-883a-00500473d4eb Uhcd
4c006cd9-19ba-4617-8483-609194a1acfc UsbInt13
c01766ef-c809-4bd0-92d0-5e55a6f3e6f5 VirtualSerial
8f4b8f82-9b91-4028-86e6-f4db7d4c1dff Bds
a3ad355a-13d0-4dcf-9c21-3d2c5f1bad5f FboGroupForm
b7d19491-e55a-470d-8508-85a5dfa41974 SBDXE
cdc1c80d-e6d3-4a42-9229-75f3befcf109 PciOutOfResourceSetupPage
c8339973-a563-4561-b858-d8476f9defc4 Metronome
f099d67f-71ae-4c36-b2a3-dceb0eb2b7d8 WatchdogTimer
9c1080ee-d02e-487f-9432-f3bf086ec180 GenericMemoryTestDxe
bae7599f-3c6b-43b7-bdf0-9ce07aa91aa6 CpuIoDxe
16271fca-55d9-4a33-93fc-5a3eb128deb6 CRBDxe
055fb806-2f4c-46e7-bdf4-1239382a0c94 OEMBDxe
91907035-0782-4f23-a183-e6651956bc56 TSEBehavior
03a8187c-baa0-4302-9f43-2d0a140bfe73 OEMSmbusDxeDriver
5d65d076-2fe1-477d-b76f-7bb262df0baf ProgramSSIDDxe
5d2edf86-d7d0-432c-ab29-d81780302159 SmbiosUpdate
7ef12538-0dc3-4d3c-ad42-448cc1573ba1 SystemInfoToBmc
1020b54f-9006-429f-b822-7d405f2bb796 IPMIEXTENDED
212fe368-5d79-4cab-af65-24501e37f983 MrcStatusCheck
0c945404-9e16-4c96-9184-20d508564021 OemSetup
54b070f3-9eb8-47cc-adaf-39029c853cbb NvramSmiDxe
42857f0a-13f2-4b21-8a23-53d3f714b840 CapsuleRuntimeDxe
b601f8c4-43b7-4784-95b1-f4226cb40cee RuntimeDxe
06d20d84-a032-4e25-969a-346d255e46d1 CpuCsrAccess
af59f2f5-5e28-4e03-80e2-4727545af811 PchReset
ba31025c-4aa8-4cae-98ca-ba12c6bc7d78 SmmControl2Dxe
77eb6c06-fd48-488b-a1b3-ae0a70801369 CryptoDXE
8f2c127e-117d-484b-8a44-fbd911be125e IpmiRedirFru
43788beb-638f-434c-8a84-46d33a589e76 BmcElog
3b0673a3-5197-454c-ba76-e2d0c8c48efd GenericElog
13c5506e-8231-415e-9ebc-88dd115e3818 SmbiosElog
253e85e9-993b-439b-b74c-6120f77b4723 PlatformReset
bb8c2cf3-a5e3-49ef-941b-4a01fac6fd5f SmiFlashDxe
2fa2a6da-11d5-4dc3-999a-749648b03c56 PiSmmIpl
628a497d-2bf6-4264-8741-069dbd3399d6 ConSplitter
43e7abdd-e352-4cfb-a230-4cdc1d350e5c GraphicsConsole
6b38f7b4-ad98-40e9-9093-aca2b5a253c4 DiskIoDxe
1fa1f39e-feff-4aae-bd7b-38a070a3b609 PartitionDxe
bb65942b-521f-4ec3-baf9-a92540cf60d2 SataController
8f5a2e02-538c-4d59-b920-c4786acbc552 Ahci
8eef9ad2-463e-425f-a4fe-2f6783d6f97e GenericSio
aaecdc89-2a49-46f1-a163-f7979c039998 IdeBusSrc
952821aa-eacd-465b-b478-5429dfc9a747 OA2
3c1de39f-d207-408a-aacc-731cfb7f1dd7 PciBus
54891a9e-763e-4377-8841-8d5c90d88cde TerminalSrc
97c81e5d-8fa0-486a-aaea-0efdf090fe4f SerialIo
a2f436ea-a127-4ef8-957c-8048606ff670 SnpDxe
025bbfc7-e6a9-4b8b-82ad-6815a1aeaf4a MnpDxe
529d3f93-e8e9-4e73-b1e1-bdf6a9d50113 ArpDxe
1a7e4468-2f55-4a56-903c-01265eb7622b TcpDxe
b95e9fda-26de-48d2-8807-1f9107ac5e3a UefiPxeBcDxe
94734718-0bbc-47fb-96a5-ee7a5ae6a2ad Dhcp4Dxe
26841bde-920a-4e7a-9fbe-637f477143a6 Ip4ConfigDxe
9fb1a1f3-3b71-4324-b39a-745cbb015fff Ip4Dxe
dc3641b8-2fa8-4ed3-bc1f-f9962a03454b Mtftp4Dxe
6d6963ab-906d-4a65-a7ca-bd40e5d6af2b Udp4Dxe
